logger_ID,date,logger_serial_number,temperature
19,2021-09-05T07:00:00Z,A541E8,3.24818
19,2021-09-05T08:00:00Z,A541E8,3.43539
19,2021-09-05T09:00:00Z,A541E8,4.55106
19,2021-09-05T10:00:00Z,A541E8,6.08762
19,2021-09-05T11:00:00Z,A541E8,7.74079
19,2021-09-05T12:00:00Z,A541E8,9.34489
19,2021-09-05T13:00:00Z,A541E8,10.7812
19,2021-09-05T14:00:00Z,A541E8,11.8833
19,2021-09-05T15:00:00Z,A541E8,12.5705
19,2021-09-05T16:00:00Z,A541E8,12.7163
19,2021-09-05T17:00:00Z,A541E8,12.2058
19,2021-09-05T18:00:00Z,A541E8,11.3546
19,2021-09-05T19:00:00Z,A541E8,10.4572
19,2021-09-05T20:00:00Z,A541E8,9.63096
19,2021-09-05T21:00:00Z,A541E8,8.91681
19,2021-09-05T22:00:00Z,A541E8,8.34925
19,2021-09-05T23:00:00Z,A541E8,7.90361
19,2021-09-06T00:00:00Z,A541E8,7.45587
19,2021-09-06T01:00:00Z,A541E8,7.04163
19,2021-09-06T02:00:00Z,A541E8,6.62595
19,2021-09-06T03:00:00Z,A541E8,6.29089
19,2021-09-06T04:00:00Z,A541E8,5.99402
19,2021-09-06T05:00:00Z,A541E8,5.72771
19,2021-09-06T06:00:00Z,A541E8,5.49246
19,2021-09-06T07:00:00Z,A541E8,5.3195
19,2021-09-06T08:00:00Z,A541E8,5.56005
19,2021-09-06T09:00:00Z,A541E8,6.43373
19,2021-09-06T10:00:00Z,A541E8,7.69698
19,2021-09-06T11:00:00Z,A541E8,9.17583
19,2021-09-06T12:00:00Z,A541E8,10.6716
19,2021-09-06T13:00:00Z,A541E8,12.0509
19,2021-09-06T14:00:00Z,A541E8,13.21
19,2021-09-06T15:00:00Z,A541E8,13.9086
19,2021-09-06T16:00:00Z,A541E8,13.793
19,2021-09-06T17:00:00Z,A541E8,12.9287
19,2021-09-06T18:00:00Z,A541E8,11.9753
19,2021-09-06T19:00:00Z,A541E8,11.0949
19,2021-09-06T20:00:00Z,A541E8,10.325
19,2021-09-06T21:00:00Z,A541E8,9.69453
19,2021-09-06T22:00:00Z,A541E8,9.1328
19,2021-09-06T23:00:00Z,A541E8,8.59203
19,2021-09-07T00:00:00Z,A541E8,8.07797
19,2021-09-07T01:00:00Z,A541E8,7.61182
19,2021-09-07T02:00:00Z,A541E8,7.17076
19,2021-09-07T03:00:00Z,A541E8,6.75348
19,2021-09-07T04:00:00Z,A541E8,6.34786
19,2021-09-07T05:00:00Z,A541E8,5.97055
19,2021-09-07T06:00:00Z,A541E8,5.64252
19,2021-09-07T07:00:00Z,A541E8,5.38608
